codigo;nombre;DEBE
778;HOSPITAL OBRERO EL ALTO 2;
666;HOSPITAL OBRERO EL ALTO A;
828;HOSPITAL OBRERO EL ALTO ANATOMIA;
667;HOSPITAL OBRERO EL ALTO B;
829;HOSPITAL OBRERO EL ALTO BASURA;
668;HOSPITAL OBRERO EL ALTO C;
830;HOSPITAL OBRERO EL ALTO COCINA;
720;HOSPITAL OBRERO EL ALTO D;
721;HOSPITAL OBRERO EL ALTO E;
722;HOSPITAL OBRERO EL ALTO F;
831;HOSPITAL OBRERO EL ALTO FARMACIA;
833;HOSPITAL OBRERO EL ALTO PATOLOGIA;
832;HOSPITAL OBRERO EL ALTO ROPA SUCIA;
825;HOSPITAL OTORRINO OFTALMOLOGICO;
624;HOSPITAL RUBEN ZELAYA A;
625;HOSPITAL RUBEN ZELAYA B;
915;HOSPITLA OBRERO EL ALTO BASURA;
247;HOSTAL DONDE EL NEGRO (COSME MARIACA);
150;HOSTAL ORQUIDEA;
633;HOSTAL POSTIGO A;
634;HOSTAL POSTIGO B;
151;HOTEL AERONAUTICO;
149;HOTEL ALARCON;
152;HOTEL ALEXANDER I;
153;HOTEL ALEXANDER II (TORRE EMPRESARIAL);
543;HOTEL ATOM;
575;HOTEL BEIRUT;
713;HOTEL BELANOVA (HOTEL MARTHA);
1028;HOTEL CHARITO;
1009;HOTEL COLONIA;
841;HOTEL DUBAI;
464;HOTEL MARTHA;
520;HOTEL MITRU;
878;HOTEL MITRU DEL SUR;
155;HOTEL ORQUIDEA;
482;HOTEL PRESIDENTE;
711;HOTEL RENNOVA (HOTEL ATOM);
712;HOTEL RENNOVA (INTERLLANTAS);
156;HOTEL ROSARIO;
157;HOTEL VELASQUEZ;
158;HOZ DE VILA;
159;HUGO;
160;HUMEREZ;
161;IBITA;
898;ICARO;
995;IGLESIA CRISTIANA;
1042;IGLESIA CRISTO VIENE OCEI;
162;IGLESIA DIOS ES AMOR;
505;IGUAZU;
1049;ILLIMANI WALTER CORTEZ (EX VILLA VERDE);
163;IMPEXPAP DATACOM;
926;IMPEXPAP SEDEM;
826;IMPUESTOS NACIONALESLOS PINOS;
164;INCAS ROOM;
635;INDABURO II (COPIJSUD);
814;INDABURO II (TEMPLO MORMONES);
692;INFOCRED;
694;INFOCRED (DMS);
630;INFRABOL;
165;INTEGRAMED;
166;INTERLLANTAS;
960;IRENA;
961;IRENDA;
167;IRIARTE;
286;IRIARTE CALLATAYUD (NIKON CENTER);
754;ITURRALDE;
472;JACHA;
169;JADE;
170;JAKARANDA II;
171;JANET;
172;JARDIEL;
864;jardines de taborga;
173;JEWELS;
454;JHIRE;
174;JIMENEZ;
458;JORGE LEDESMA;
434;JORGE Y MARTHA;
433;JOSE SANTOS;
1043;JUAN CARLOS VALVERDE;
849;JULIETTE;
962;JULIETTE II;
1034;KANTUTANI (EX COSALUD);
175;KATALIN;
708;KENYA A;
709;KENYA B;
176;KETAL ASCENSOR;1
177;KETAL ESCALERA;
178;KETAL MOVING WALKS;
736;KINETICA (DOMINE);
1056;KORY APPLE TOWER;
584;LA ARBOLEDA A;
585;LA ARBOLEDA B;
586;LA ARBOLEDA C;
587;LA ARBOLEDA D;
179;LA COMPAÑÍA;1
180;LA CORONA;
181;LA FLORIDA;
984;LA FORTUNA;
182;LA JOYITA;
670;LA PACEÑA;
183;LA PAZ LIDER;
184;LA PEQUEÑA VILLA;
373;LA PRADERA;
185;LA PRADERA 4TA TORRE;
186;LA REPUBLICA;
187;LA SERENA;
13;LA SUIZA;
188;LA TRIUNFADORA;
576;LA VITALICIA;
189;LACOSTTE II;
473;LAIME;
190;LARISSA;1
191;LAS DALIAS;
192;LAS FLORES (EDUARDO ESCOBAR);
193;LAS LOMAS BLANCAS;
867;LAS NIEVES;
519;LAS PALMAS;
745;LAS PALMAS A;
746;LAS PALMAS B;
747;LAS PALMAS C;
748;LAS PALMAS DEL SUR;1
992;LAS PALMAS PREMIUM;
194;LAS PIEDRAS;
196;LAS TUNAS;
197;LAURA;
198;LE 16;
199;LE 27;
200;LE BIJOU;
610;LEGASSY;
749;LEGASSY HIDRAL;
427;LEITO;
819;LEON;
201;LIBERTAD;
999;LIBERTAD (TITO CHOQUE);
474;LIEBRTAD;
203;LIRA;
1036;LIT DE RIVIERE;
205;LOLITA;
206;LOLITA MAÑUECO;
207;LOMBARDY;
495;LOS ALMENDROS (OLEACHEA);
208;LOS CEDROS;
1000;LOS NUEVOS PINOS 19;
1001;LOS NUEVOS PINOS 20;
1002;LOS NUEVOS PINOS 21;
989;LOS NUEVOS PINOS 34;
988;LOS NUEVOS PINOS 35;
816;LOS NUEVOS PINOS BLOQUE 11;
506;LOS PINOS;
209;LOS PINOS 1;
210;LOS PINOS 10;
211;LOS PINOS 2;
759;LOS PINOS 23;
775;LOS PINOS 24;
932;LOS PINOS 26;
212;LOS PINOS 3;
903;LOS PINOS 33;
654;LOS PINOS 38;
213;LOS PINOS 4;
214;LOS PINOS 5;1
215;LOS PINOS 6;
216;LOS PINOS 7;
217;LOS PINOS 8;
218;LOS PINOS 9;
693;LOS PINOS BLOQUE 25;
931;LOS PINOS BLOQUE 33;
563;LOS PINOS FASE 17;
228;LOS PINOS FASE 4;
227;LOS PINOS FASE III;
224;LOS PINOS FASE III;
220;LOS PINOS FASE III BLOQUE 31;
221;LOS PINOS FASE III BLOQUE 32;
219;LOS PINOS FASE III - BLOQUE 13;
484;LOS PINOS FASE III - BLOQUE 14;1
486;LOS PINOS FASE III - BLOQUE 16;
222;LOS PINOS FASE III - BLOQUE 27;
223;LOS PINOS FASE III - BLOQUE 28;
225;LOS PINOS FASE III - BLOQUE 30;
226;LOS PINOS FASE III - BLOQUE 37;
567;LOS PINOS FASE III BLOQUE 29;
580;LOS PINOS FASE III BLOQUE 37;
566;LOS PINOS FASE III BLOQUE 40;
485;LOS PINOS FASE IV - BLOQUE 15;
564;LOS PINOS FASE IV BLOQUE 17;
565;LOS PINOS FASE IV BLOQUE 18;1
231;LOS REYES DEL SUR;
465;LOS REYES SUR;
232;LOS ROSALES;1
794;LOS SAUCES RCS;
234;LUCERNA;
980;LUIS INCHAUSTE;
728;LUIS SEDERAL A;
729;LUIS SEDERAL B;
1041;LUIZ CUSI;
414;Luna Azul;
805;LUXURY HILLS;
1030;LUZ BELEN;
743;LUZ SIDERAL A;
744;LUZ SIDERAL B;
996;MACHACA;
235;MAFER II;
236;MAGALY;
237;MAHIL S;
238;MALDONADO - TAMAYO;
857;MALLORCA (BURGOS);
239;MAN.COM;
240;MANAIRA;
241;MANANTIAL;
583;MAR Y SOL;
507;MARANGONI (AVILA);
848;MARIA ASUNCION;
937;MARIA CRISTINA;
242;MARIA HAYDEE;
243;MARIA INES;
244;MARIA INES MONT;
245;MARIA ISABEL;
246;MARIA JULIA MONTACARGAS;
516;MARIAN;
994;MARIOL;
248;MARISCAL MONTENEGRO;
521;MARISCAL SUCRE;
249;MARTHA DE LA ROCHA;
250;MARUJITA;
251;MATIAS;
513;MATISSE;
253;MEDITERRANEO;
252;MEDITERRANEO II;
254;MEGACENTER ASCENSORES;1
255;MEGACENTER ESC;
413;MEGACENTER FASE II;
256;MEGACENTER GENERADOR;
965;MELANY (EX VILLA VERDE FASE II);
845;MELANY (EX VILLA VERDE);
257;MELAZZINI;
981;MENORCA;
259;MERCADO SUIZA;
445;MERCADO SUIZA ESC;
476;MERCEDEZ ISABELLA;
1035;MERCURY;
260;MERIDIANO;
509;MICAELA;
261;MIGUEL ANGEL;
262;MIGUELINA;
452;MINISTERIO DE DEFENSA;
701;MINISTERIO DE ECONOMIA A;
702;MINISTERIO DE ECONOMIA B;
703;MINISTERIO DE ECONOMIA C;
704;MINISTERIO DE ECONOMIA D;
705;MINISTERIO DE ECONOMIA E;
860;MINISTERIO DE EDUCACION;1
263;MIRADOR LOS JARDINES;
265;MIRASOL (Mallasillas);
266;MIRASOL A (Ecoviana);
267;MIRASOL B (Ecoviana);
268;MIRNA;
895;MIRO;
269;MITI;
270;MIULLER;
811;MOLLER;
535;MOLLINEDO;
639;MOLLINEDO A;
640;MOLLINEDO B;
271;MONACO;
1063;MONOPOL;
272;MONTECARLO;
273;MONTECRISTO;
274;MONTERREY;
698;MONTERREY A;
697;MONTERREY B;
756;MONTES;
800;MONTPELLIER;
974;MONTREAL;
275;MULTICENTRO ALEXANDER;
276;MULTICENTRO ALEXANDER ESCALERA;
277;MULTICINE;
280;MULTIFAMILIAR ARINKA;
726;MULTIFAMILIAR CARRASCO;
734;MULTIFAMILIAR LLANOS;
278;MULTIFAMILIAR LLANOS;
282;MURANO;
283;MUSTAFA;
284;MUTUAL LA PRIMERA;
977;MUTUALISTA (EX GOGO );
716;NADIA FANNY II;
717;NADIA FANNY II A;
718;NADIA FANNY II B;
285;NAI;
1040;NAMAR;
305;NE&CO (QUESOL);
896;NELSON SALINAS;
483;NINA;
678;NIÑO DE JESUS;
863;NIÑO JESUS;
287;NUESTRA SEÑORA DE FATIMA;
289;NUESTRA SEÑORA DE LA PAZ;
290;NUESTRA SRA DEL CARMEN;1
419;O22;
291;OCEANO;
997;OLGA;
447;OLIMPIC;
292;OLIMPO;
607;ONDOMINIO EL EDEN TORRE 1;
738;ONTIVEROS A;
739;ONTIVEROS b;
742;ONTIVEROS HIDRAL;
578;ORELLANA;
862;ORIS;
959;ORQUIDEA;
1064;ORQUIDEAS (STOCK);
293;OSCARS;
539;OVANDO;
910;PACEÑA;
963;PACHECO;
843;PALADIO;
606;PAMIR PAMPA;
294;PAOLA DANIELA;
295;PARADISO;
590;PARADISO B;
462;PARDO MEYER;
296;PARQUE 15;
297;PARQUE 18;
298;PASEO DE GRACIA;1
299;PATRICIA ITURRALDE;
300;PAULINA;
618;PAULISTA A;
619;PAULISTA B;
916;PEÑA AZUL;
517;PERLA;
569;PLANTA ENSAMBLADORA QUIPUS;
636;PLANTA TRANSFORMADORA DE FIBRA;
301;PLATA;
856;PLAZA 15;
700;PLAZA REAL COMERCIAL COMERCIO;
545;POETA #1;
554;POETA #10;
555;POETA #11;
556;POETA #12;
557;POETA #13;
558;POETA #14;
559;POETA #15;
546;POETA #2;
547;POETA #3;
548;POETA #4;
549;POETA #5;
550;POETA #6;
551;POETA #7;
552;POETA #8;
553;POETA #9;
941;POPPE;
891;PORTO PIETRA;
303;PORTUGAL;
540;POSITANO;
489;PROCURADURA DEL ESTADO;
488;PROCURADURA DEL ESTADO VIP;
812;PROSALUD 16 DE JULIO;
442;PROSALUD MIRAFLORES;
304;PUEBLO;
758;QUEVEDO;
1038;QUIÑOUEL (MARTHA);
752;QUISBERTH;
306;RAFAELA;
1006;RAMIRO HUANCA;
310;REAL AUDIENCIA DE CHARCAS (RETAMOSO);
307;RECOLETA;
308;REINA NELY;1
893;REMMY;
927;RENA;
309;RENACIMIENTO;
469;RENAISSANCE;
928;RENATA ISABEL;
908;RESIDENCIA CARO;
769;RESIDENCIA FIORILO;
985;RESIDENCIA MEDITERRANEA;
105;REYES;
312;RIO DE JANEIRO;
313;RIOS TAPIA;
314;RIOS TAPIA MONTACARGAS;
315;RK CANAIMA;
532;ROCA (RUCK CALLE 24);
810;RODRIGO;
415;RODRIGUEZ;
420;Rodriguez;
602;ROMEC (VIVIENDA RODRIGUEZ);1
316;ROMERO;
317;ROMULO Y REMO;
318;ROMULO Y REMO II;
613;ROOSER SAN MIGUEL;
320;ROOSER SUR;
621;ROSA ANGELICA (OROPEZA);
836;ROSALIA;
321;ROSARIO;
322;ROSSANA;
603;ROYUELA;
323;RUISEÑOR;
324;SAAVEDRA -TOYOSA;
325;SAINT MICHEL;
496;SALVADOR;
326;SAMIRA;
1029;SAMIRA (MILTON VARGAS);
327;SAN ANDRES II;
571;SAN CRISTOBAL;
572;SAN CRISTOBAL A;
573;SAN CRISTOBAL B;
328;SAN FELIPE;
904;SAN FRANCISCO;
779;SAN GABRIEL A (PASTEN);
780;SAN GABRIEL B (PASTEN);
329;SAN IGNACIO;
330;SAN JAVIER;
331;SAN JUAN;
824;SAN MARINO;
919;SAN MARTIN;
332;SAN PEDRO (ADUVIRI);
770;SAN RAFAEL ARCANGEL;
333;SANDRO BOTICCELI;
334;SANJINES;
335;SANTA CECILIA;
336;SANTA ELENITA;
337;SANTA FE;
561;SANTANDER;
807;SANTIAGO DE COMPOSTELA;
582;SARITA;
467;SEDUCA;
339;SENASIR;
735;SEÑOR DE EXALTACION;
839;SEÑOR DE EXALTACION (14 DE SEPTIEMBRE);
840;SEÑOR DE EXALTACION (HERNANDO SILES);
699;SEÑOR JESUS DEL GRAN PODER;
340;SEVILLA;
390;SILES;
341;SIMON TAPIA;
835;SIPCON;
934;SIRPA;
342;SKY TOWER;
1054;SMALL ESTUDIOS (STOCK II 6-A);
899;SOHO III;
264;SOL DE CRISTAL;
632;SOLARIUM 16;
905;SPC IMPRESIONES;
70;SUCRE;
343;SURYA;
344;TABORGA;
673;TAITI (TAYPI);
345;TAMESIS;
1044;TANCARA;
346;TANGO;
349;TECNOLOGICO;
350;TECTONICA;
1045;TELEFERICO FARO MURILLO E-M2-3;
1047;TELEFERICO FARO MURILLO E-M2-4;
351;TELEFERICO LINEA AMARILLA;
591;TELEFERICO LINEA AMARILLA EST. BUENOS AIRES;
593;TELEFERICO LINEA AMARILLA EST. MIRADOR;
598;TELEFERICO LINEA AMARILLA EST. SOPOCACHI;
655;TELEFERICO LINEA AZUL 16 DE JULIO;
676;TELEFERICO LINEA AZUL E-A2 PLAZA LIBERTAD A;
677;TELEFERICO LINEA AZUL E-A2 PLAZA LIBERTAD B;
674;TELEFERICO LINEA AZUL E-A3 LA PAZ A;
675;TELEFERICO LINEA AZUL E-A3 LA PAZ B;
656;TELEFERICO LINEA AZUL PLAZA LIBERTAD A;
657;TELEFERICO LINEA AZUL PLAZA LIBERTAD B;
658;TELEFERICO LINEA AZUL RIO SECO;
659;TELEFERICO LINEA AZUL TERMINAL LA PAZ A;
660;TELEFERICO LINEA AZUL TERMINAL LA PAZ B;
661;TELEFERICO LINEA AZUL UPEA A;
662;TELEFERICO LINEA AZUL UPEA B;
783;TELEFERICO LINEA BLANCA EB-3 TRIANGULAR A;
784;TELEFERICO LINEA BLANCA EB-3 TRIANGULAR B;
782;TELEFERICO LINEA BLANCA EB-4 BUSCH B;
785;TELEFERICO LINEA BLANCA EB-5 VILLARROEL;
938;TELEFÉRICO LÍNEA BLANCA ESTACIÓN BUSCH A;
964;TELEFÉRICO LÍNEA BLANCA ESTACIÓN POETA B;
884;TELEFERICO LINEA BLANCA ESTACION POETA C;
882;TELEFERICO LINEA CAFE E-K1;
881;TELEFERICO LINEA CAFE E-K2;
880;TELEFERICO LINEA CAFE E-K2 B;
1022;TELEFERICO LINEA CAFE EK-1;
1020;TELEFERICO LINEA CAFE EK-2A;
1021;TELEFERICO LINEA CAFE EP-3;
986;TELEFÉRICO LÍNEA CELESTE EST EZ-2B;
987;TELEFÉRICO LÍNEA CELESTE EST EZ-2B (PROCURADURIA);
958;TELEFERICO LINEA CELESTE EST. CANCHA ZAPATA PASARELAS A;
952;TELEFERICO LINEA CELESTE EST. CANCHA ZAPATA PASARELAS B;
971;TELEFÉRICO LÍNEA CELESTE EST. EZ-1 EX PROCURADURA DEL ESTADO;
946;TELEFERICO LINEA CELESTE EZ-2A;
975;TELEFERICO LINEA CELESTE EZ-2A (EX COLLPAS);
948;TELEFERICO LINEA CELESTE EZ-2B (EX COLLPAS);
947;TELEFERICO LINEA CELESTE EZ-2C;
949;TELEFERICO LINEA CELESTE EZ-3A CANCHA ZAPATA;
950;TELEFERICO LINEA CELESTE EZ-3B CANCHA ZAPATA;
1013;TELEFERICO LINEA CELESTE EZ-4 PRADO;
951;TELEFERICO LINEA MORADA ADUANA;
1014;TELEFERICO LINEA MORADA E-M2-1;
1015;TELEFERICO LINEA MORADA E-M2-2;
883;TELEFERICO LINEA MORADA E-M4 6 DE MARZO A;
954;TELEFERICO LINEA MORADA EST. FARO MURILLO A;
955;TELEFERICO LINEA MORADA EST. FARO MURILLO B;
956;TELEFERICO LINEA MORADA EST. SAN JOSE A;
953;TELEFERICO LINEA MORADA EST. SAN JOSE B;
888;TELEFERICO LINEA NARANJA ARMENTIA A;
889;TELEFERICO LINEA NARANJA ARMENTIA B;
781;TELEFERICO LINEA NARANJA PERIFERICA A;
887;TELEFERICO LINEA NARANJA PERIFERICA B;
861;TELEFERICO LINEA NARANJA TAYPIUTA;
1024;TELEFERICO LINEA PLATEADA EP-11;
1025;TELEFERICO LINEA PLATEADA EP-12;
1026;TELEFERICO LINEA PLATEADA EP-3;
352;TELEFERICO LINEA ROJA;
596;TELEFERICO LINEA ROJA EST. 16 DE JULIO;
597;TELEFERICO LINEA ROJA EST. CEMENTERIO;
595;TELEFERICO LINEA ROJA EST. CENTRAL ENFE;
353;TELEFERICO LINEA VERDE;
599;TELEFERICO LINEA VERDE EST. ALTO OBRAJES;
594;TELEFERICO LINEA VERDE EST. CURVA DEL LIBERTADOR;
600;TELEFERICO LINEA VERDE EST. IRPAVI;
592;TELEFERICO LINEA VERDE EST. OBRAJES C.17;
868;TELEFERICO SAN JORGE A;
869;TELEFERICO SAN JORGE B;
870;TELEFERICO SAN JORGE C;
871;TELEFERICO SAN JORGE D;
872;TELEFERICO SAN JORGE E;
873;TELEFERICO SAN JORGE F;
957;TELEFERICO SAN JORGE PASARELAS EA-5B;
17;TEMIS (ARTEMIS);
435;TERRAZAS DE ALQUISAMAÑA;
